timestamp;lightintensity;tvoc;noise;humidity;temperature;occupancy;co2-ndir;peoplecount;pm2.5;pm10;deviceTemperature;deviceID;EpochTime/UnixTime ( UTC )
1-5-2023 08:15:55;;;;;;;;;;;;rgb_peoplecount;1682921755.208
1-5-2023 08:17:49;;;;;;;;1;;;;rgb_peoplecount;1682921869.868
1-5-2023 08:17:55;;;;;;;;;;;;rgb_peoplecount;1682921875.2
1-5-2023 08:19:50;;;;;;;;1;;;;rgb_peoplecount;1682921990.179
1-5-2023 08:19:55;;;;;;;;;;;;rgb_peoplecount;1682921995.312
1-5-2023 08:21:50;;;;;;;;1;;;;rgb_peoplecount;1682922110.466
1-5-2023 08:21:55;;;;;;;;;;;;rgb_peoplecount;1682922115.592
1-5-2023 08:23:50;;;;;;;;2;;;;rgb_peoplecount;1682922230.591
1-5-2023 08:23:56;;;;;;;;;;;;rgb_peoplecount;1682922236.034
1-5-2023 08:25:50;;;;;;;;2;;;;rgb_peoplecount;1682922350.347
1-5-2023 08:25:55;;;;;;;;;;;;rgb_peoplecount;1682922355.621
1-5-2023 08:27:50;;;;;;;;2;;;;rgb_peoplecount;1682922470.783
1-5-2023 08:27:55;;;;;;;;;;;;rgb_peoplecount;1682922475.919
1-5-2023 08:29:50;;;;;;;;2;;;;rgb_peoplecount;1682922590.945
1-5-2023 08:29:56;;;;;;;;;;;;rgb_peoplecount;1682922596.221
1-5-2023 08:31:51;;;;;;;;2;;;;rgb_peoplecount;1682922711.514
1-5-2023 08:31:56;;;;;;;;;;;;rgb_peoplecount;1682922716.355
1-5-2023 08:33:51;;;;;;;;2;;;;rgb_peoplecount;1682922831.529
1-5-2023 08:33:56;;;;;;;;;;;;rgb_peoplecount;1682922836.621
1-5-2023 08:35:51;;;;;;;;2;;;;rgb_peoplecount;1682922951.593
1-5-2023 08:35:56;;;;;;;;;;;;rgb_peoplecount;1682922956.751
1-5-2023 08:37:49;;;;;;;;2;;;;rgb_peoplecount;1682923069.012
1-5-2023 08:37:54;;;;;;;;;;;;rgb_peoplecount;1682923074.536
1-5-2023 08:39:49;;;;;;;;2;;;;rgb_peoplecount;1682923189.39
1-5-2023 08:39:54;;;;;;;;;;;;rgb_peoplecount;1682923194.816
1-5-2023 08:41:49;;;;;;;;2;;;;rgb_peoplecount;1682923309.452
1-5-2023 08:41:55;;;;;;;;;;;;rgb_peoplecount;1682923315.035
1-5-2023 08:43:49;;;;;;;;2;;;;rgb_peoplecount;1682923429.649
1-5-2023 08:43:55;;;;;;;;;;;;rgb_peoplecount;1682923435.099
1-5-2023 08:45:49;;;;;;;;2;;;;rgb_peoplecount;1682923549.687
1-5-2023 08:45:54;;;;;;;;;;;;rgb_peoplecount;1682923554.825
1-5-2023 08:47:50;;;;;;;;2;;;;rgb_peoplecount;1682923670.487
1-5-2023 08:47:55;;;;;;;;;;;;rgb_peoplecount;1682923675.589
1-5-2023 08:49:50;;;;;;;;2;;;;rgb_peoplecount;1682923790.59
1-5-2023 08:49:55;;;;;;;;;;;;rgb_peoplecount;1682923795.859
1-5-2023 08:51:50;;;;;;;;2;;;;rgb_peoplecount;1682923910.487
1-5-2023 08:51:55;;;;;;;;;;;;rgb_peoplecount;1682923915.994
1-5-2023 08:53:50;;;;;;;;1;;;;rgb_peoplecount;1682924030.588
1-5-2023 08:53:55;;;;;;;;;;;;rgb_peoplecount;1682924035.989
1-5-2023 08:55:50;;;;;;;;1;;;;rgb_peoplecount;1682924150.853
1-5-2023 08:55:56;;;;;;;;;;;;rgb_peoplecount;1682924156.159
1-5-2023 08:57:51;;;;;;;;1;;;;rgb_peoplecount;1682924271.212
1-5-2023 08:57:56;;;;;;;;;;;;rgb_peoplecount;1682924276.398
1-5-2023 08:59:51;;;;;;;;2;;;;rgb_peoplecount;1682924391.037
1-5-2023 08:59:56;;;;;;;;;;;;rgb_peoplecount;1682924396.582
1-5-2023 09:01:51;;;;;;;;3;;;;rgb_peoplecount;1682924511.167
1-5-2023 09:01:56;;;;;;;;;;;;rgb_peoplecount;1682924516.289
1-5-2023 09:03:51;;;;;;;;3;;;;rgb_peoplecount;1682924631.466
1-5-2023 09:03:56;;;;;;;;;;;;rgb_peoplecount;1682924636.452
1-5-2023 09:05:51;;;;;;;;3;;;;rgb_peoplecount;1682924751.742
1-5-2023 09:05:56;;;;;;;;;;;;rgb_peoplecount;1682924756.778
1-5-2023 09:07:49;;;;;;;;3;;;;rgb_peoplecount;1682924869.25
1-5-2023 09:07:54;;;;;;;;;;;;rgb_peoplecount;1682924874.622
1-5-2023 09:09:49;;;;;;;;3;;;;rgb_peoplecount;1682924989.993
1-5-2023 09:09:55;;;;;;;;;;;;rgb_peoplecount;1682924995.104
1-5-2023 09:11:50;;;;;;;;3;;;;rgb_peoplecount;1682925110.259
1-5-2023 09:11:55;;;;;;;;;;;;rgb_peoplecount;1682925115.026
1-5-2023 09:13:50;;;;;;;;3;;;;rgb_peoplecount;1682925230.491
1-5-2023 09:13:55;;;;;;;;;;;;rgb_peoplecount;1682925235.203
1-5-2023 09:15:50;;;;;;;;3;;;;rgb_peoplecount;1682925350.339
1-5-2023 09:15:55;;;;;;;;;;;;rgb_peoplecount;1682925355.393
1-5-2023 09:17:50;;;;;;;;3;;;;rgb_peoplecount;1682925470.468
1-5-2023 09:17:55;;;;;;;;;;;;rgb_peoplecount;1682925475.549
1-5-2023 09:19:50;;;;;;;;3;;;;rgb_peoplecount;1682925590.661
1-5-2023 09:19:55;;;;;;;;;;;;rgb_peoplecount;1682925595.642
1-5-2023 09:21:51;;;;;;;;3;;;;rgb_peoplecount;1682925711.598
1-5-2023 09:21:55;;;;;;;;;;;;rgb_peoplecount;1682925715.871
1-5-2023 09:23:51;;;;;;;;3;;;;rgb_peoplecount;1682925831.558
1-5-2023 09:23:56;;;;;;;;;;;;rgb_peoplecount;1682925836.624
1-5-2023 09:25:51;;;;;;;;2;;;;rgb_peoplecount;1682925951.376
1-5-2023 09:25:56;;;;;;;;;;;;rgb_peoplecount;1682925956.522
1-5-2023 09:27:51;;;;;;;;2;;;;rgb_peoplecount;1682926071.47
1-5-2023 09:27:56;;;;;;;;;;;;rgb_peoplecount;1682926076.922
1-5-2023 09:29:51;;;;;;;;2;;;;rgb_peoplecount;1682926191.988
1-5-2023 09:29:56;;;;;;;;;;;;rgb_peoplecount;1682926196.952
1-5-2023 09:31:51;;;;;;;;2;;;;rgb_peoplecount;1682926311.509
1-5-2023 09:31:56;;;;;;;;;;;;rgb_peoplecount;1682926316.587
1-5-2023 09:33:51;;;;;;;;2;;;;rgb_peoplecount;1682926431.583
1-5-2023 09:33:56;;;;;;;;;;;;rgb_peoplecount;1682926436.623
1-5-2023 09:35:51;;;;;;;;2;;;;rgb_peoplecount;1682926551.851
1-5-2023 09:35:57;;;;;;;;;;;;rgb_peoplecount;1682926557.036
1-5-2023 09:37:49;;;;;;;;2;;;;rgb_peoplecount;1682926669.53
1-5-2023 09:37:54;;;;;;;;;;;;rgb_peoplecount;1682926674.342
1-5-2023 09:39:49;;;;;;;;2;;;;rgb_peoplecount;1682926789.924
1-5-2023 09:39:54;;;;;;;;;;;;rgb_peoplecount;1682926794.542
1-5-2023 09:41:49;;;;;;;;2;;;;rgb_peoplecount;1682926909.797
1-5-2023 09:41:54;;;;;;;;;;;;rgb_peoplecount;1682926914.964
1-5-2023 09:43:49;;;;;;;;2;;;;rgb_peoplecount;1682927029.788
1-5-2023 09:43:54;;;;;;;;;;;;rgb_peoplecount;1682927034.799
1-5-2023 09:45:50;;;;;;;;2;;;;rgb_peoplecount;1682927150.346
1-5-2023 09:45:55;;;;;;;;;;;;rgb_peoplecount;1682927155.059
1-5-2023 09:47:50;;;;;;;;1;;;;rgb_peoplecount;1682927270.218
1-5-2023 09:47:54;;;;;;;;;;;;rgb_peoplecount;1682927274.909
1-5-2023 09:49:50;;;;;;;;1;;;;rgb_peoplecount;1682927390.36
1-5-2023 09:49:55;;;;;;;;;;;;rgb_peoplecount;1682927395.155
1-5-2023 09:51:50;;;;;;;;1;;;;rgb_peoplecount;1682927510.014
1-5-2023 09:51:55;;;;;;;;;;;;rgb_peoplecount;1682927515.186
1-5-2023 09:53:50;;;;;;;;1;;;;rgb_peoplecount;1682927630.229
1-5-2023 09:53:55;;;;;;;;;;;;rgb_peoplecount;1682927635.334
1-5-2023 09:55:50;;;;;;;;2;;;;rgb_peoplecount;1682927750.702
1-5-2023 09:55:55;;;;;;;;;;;;rgb_peoplecount;1682927755.827
1-5-2023 09:57:50;;;;;;;;1;;;;rgb_peoplecount;1682927870.814
1-5-2023 09:57:55;;;;;;;;;;;;rgb_peoplecount;1682927875.565
1-5-2023 09:59:50;;;;;;;;1;;;;rgb_peoplecount;1682927990.61
1-5-2023 09:59:55;;;;;;;;;;;;rgb_peoplecount;1682927995.823
1-5-2023 10:01:54;;;;;;;;3;;;;rgb_peoplecount;1682928114.525
1-5-2023 10:01:56;;;;;;;;;;;;rgb_peoplecount;1682928116.885
1-5-2023 10:03:51;;;;;;;;6;;;;rgb_peoplecount;1682928231.213
1-5-2023 10:03:56;;;;;;;;;;;;rgb_peoplecount;1682928236.445
1-5-2023 10:05:51;;;;;;;;6;;;;rgb_peoplecount;1682928351.56
1-5-2023 10:05:56;;;;;;;;;;;;rgb_peoplecount;1682928356.568
1-5-2023 10:07:51;;;;;;;;6;;;;rgb_peoplecount;1682928471.93
1-5-2023 10:07:57;;;;;;;;;;;;rgb_peoplecount;1682928477.059
1-5-2023 10:09:49;;;;;;;;6;;;;rgb_peoplecount;1682928589.701
1-5-2023 10:09:54;;;;;;;;;;;;rgb_peoplecount;1682928594.843
1-5-2023 10:11:50;;;;;;;;6;;;;rgb_peoplecount;1682928710.255
1-5-2023 10:11:55;;;;;;;;;;;;rgb_peoplecount;1682928715.273
1-5-2023 10:13:50;;;;;;;;6;;;;rgb_peoplecount;1682928830.468
1-5-2023 10:13:55;;;;;;;;;;;;rgb_peoplecount;1682928835.542
1-5-2023 10:15:50;;;;;;;;6;;;;rgb_peoplecount;1682928950.581
1-5-2023 10:15:55;;;;;;;;;;;;rgb_peoplecount;1682928955.742
1-5-2023 10:17:50;;;;;;;;6;;;;rgb_peoplecount;1682929070.611
1-5-2023 10:17:55;;;;;;;;;;;;rgb_peoplecount;1682929075.585
1-5-2023 10:19:51;;;;;;;;6;;;;rgb_peoplecount;1682929191.097
1-5-2023 10:19:55;;;;;;;;;;;;rgb_peoplecount;1682929195.844
1-5-2023 10:21:50;;;;;;;;6;;;;rgb_peoplecount;1682929310.946
1-5-2023 10:21:56;;;;;;;;;;;;rgb_peoplecount;1682929316.626
1-5-2023 10:23:50;;;;;;;;5;;;;rgb_peoplecount;1682929430.985
1-5-2023 10:23:56;;;;;;;;;;;;rgb_peoplecount;1682929436.294
1-5-2023 10:25:51;;;;;;;;5;;;;rgb_peoplecount;1682929551.19
1-5-2023 10:25:56;;;;;;;;;;;;rgb_peoplecount;1682929556.68
1-5-2023 10:27:51;;;;;;;;4;;;;rgb_peoplecount;1682929671.534
1-5-2023 10:27:56;;;;;;;;;;;;rgb_peoplecount;1682929676.827
1-5-2023 10:29:51;;;;;;;;5;;;;rgb_peoplecount;1682929791.741
1-5-2023 10:29:57;;;;;;;;;;;;rgb_peoplecount;1682929797.13
1-5-2023 10:31:49;;;;;;;;4;;;;rgb_peoplecount;1682929909.235
1-5-2023 10:31:54;;;;;;;;;;;;rgb_peoplecount;1682929914.708
1-5-2023 10:33:50;;;;;;;;3;;;;rgb_peoplecount;1682930030.041
1-5-2023 10:33:54;;;;;;;;;;;;rgb_peoplecount;1682930034.948
1-5-2023 10:35:50;;;;;;;;4;;;;rgb_peoplecount;1682930150.199
1-5-2023 10:35:55;;;;;;;;;;;;rgb_peoplecount;1682930155.317
1-5-2023 10:37:50;;;;;;;;5;;;;rgb_peoplecount;1682930270.529
1-5-2023 10:37:55;;;;;;;;;;;;rgb_peoplecount;1682930275.547
1-5-2023 10:39:50;;;;;;;;5;;;;rgb_peoplecount;1682930390.394
1-5-2023 10:39:55;;;;;;;;;;;;rgb_peoplecount;1682930395.441
1-5-2023 10:41:50;;;;;;;;6;;;;rgb_peoplecount;1682930510.751
1-5-2023 10:41:56;;;;;;;;;;;;rgb_peoplecount;1682930516.262
1-5-2023 10:43:50;;;;;;;;6;;;;rgb_peoplecount;1682930630.864
1-5-2023 10:43:56;;;;;;;;;;;;rgb_peoplecount;1682930636.378
1-5-2023 10:45:51;;;;;;;;6;;;;rgb_peoplecount;1682930751.16
1-5-2023 10:45:56;;;;;;;;;;;;rgb_peoplecount;1682930756.233
1-5-2023 10:47:51;;;;;;;;6;;;;rgb_peoplecount;1682930871.572
1-5-2023 10:47:56;;;;;;;;;;;;rgb_peoplecount;1682930876.395
1-5-2023 10:49:51;;;;;;;;6;;;;rgb_peoplecount;1682930991.583
1-5-2023 10:49:56;;;;;;;;;;;;rgb_peoplecount;1682930996.628
1-5-2023 10:51:51;;;;;;;;6;;;;rgb_peoplecount;1682931111.777
1-5-2023 10:51:56;;;;;;;;;;;;rgb_peoplecount;1682931116.923
1-5-2023 10:53:49;;;;;;;;5;;;;rgb_peoplecount;1682931229.172
1-5-2023 10:53:54;;;;;;;;;;;;rgb_peoplecount;1682931234.694
1-5-2023 10:55:49;;;;;;;;5;;;;rgb_peoplecount;1682931349.481
1-5-2023 10:55:54;;;;;;;;;;;;rgb_peoplecount;1682931354.773
1-5-2023 10:57:49;;;;;;;;5;;;;rgb_peoplecount;1682931469.707
1-5-2023 10:57:55;;;;;;;;;;;;rgb_peoplecount;1682931475.303
1-5-2023 10:59:50;;;;;;;;4;;;;rgb_peoplecount;1682931590.167
1-5-2023 10:59:55;;;;;;;;;;;;rgb_peoplecount;1682931595.498
1-5-2023 11:01:50;;;;;;;;5;;;;rgb_peoplecount;1682931710.687
1-5-2023 11:01:55;;;;;;;;;;;;rgb_peoplecount;1682931715.892
1-5-2023 11:03:50;;;;;;;;4;;;;rgb_peoplecount;1682931830.979
1-5-2023 11:03:56;;;;;;;;;;;;rgb_peoplecount;1682931836.365
1-5-2023 11:05:50;;;;;;;;4;;;;rgb_peoplecount;1682931950.622
1-5-2023 11:05:56;;;;;;;;;;;;rgb_peoplecount;1682931956.116
1-5-2023 11:07:50;;;;;;;;4;;;;rgb_peoplecount;1682932070.754
1-5-2023 11:07:55;;;;;;;;;;;;rgb_peoplecount;1682932075.847
1-5-2023 11:09:50;;;;;;;;4;;;;rgb_peoplecount;1682932190.753
1-5-2023 11:09:55;;;;;;;;;;;;rgb_peoplecount;1682932195.655
1-5-2023 11:11:51;;;;;;;;3;;;;rgb_peoplecount;1682932311.465
1-5-2023 11:11:55;;;;;;;;;;;;rgb_peoplecount;1682932315.937
1-5-2023 11:13:51;;;;;;;;3;;;;rgb_peoplecount;1682932431.106
1-5-2023 11:13:56;;;;;;;;;;;;rgb_peoplecount;1682932436.514
1-5-2023 11:15:51;;;;;;;;3;;;;rgb_peoplecount;1682932551.298
1-5-2023 11:15:56;;;;;;;;;;;;rgb_peoplecount;1682932556.266
1-5-2023 11:17:51;;;;;;;;4;;;;rgb_peoplecount;1682932671.649
1-5-2023 11:17:56;;;;;;;;;;;;rgb_peoplecount;1682932676.68
1-5-2023 11:19:52;;;;;;;;4;;;;rgb_peoplecount;1682932792.08
1-5-2023 11:19:56;;;;;;;;;;;;rgb_peoplecount;1682932796.838
1-5-2023 11:21:52;;;;;;;;5;;;;rgb_peoplecount;1682932912.082
1-5-2023 11:21:57;;;;;;;;;;;;rgb_peoplecount;1682932917.235
1-5-2023 11:23:52;;;;;;;;4;;;;rgb_peoplecount;1682933032.145
1-5-2023 11:23:57;;;;;;;;;;;;rgb_peoplecount;1682933037.285
1-5-2023 11:25:48;;;;;;;;4;;;;rgb_peoplecount;1682933148.991
1-5-2023 11:25:54;;;;;;;;;;;;rgb_peoplecount;1682933154.579
1-5-2023 11:27:49;;;;;;;;2;;;;rgb_peoplecount;1682933269.319
1-5-2023 11:27:54;;;;;;;;;;;;rgb_peoplecount;1682933274.649
1-5-2023 11:29:49;;;;;;;;2;;;;rgb_peoplecount;1682933389.652
1-5-2023 11:29:55;;;;;;;;;;;;rgb_peoplecount;1682933395.034
1-5-2023 11:31:49;;;;;;;;1;;;;rgb_peoplecount;1682933509.821
1-5-2023 11:31:55;;;;;;;;;;;;rgb_peoplecount;1682933515.332
1-5-2023 11:33:50;;;;;;;;1;;;;rgb_peoplecount;1682933630.351
1-5-2023 11:33:55;;;;;;;;;;;;rgb_peoplecount;1682933635.576
1-5-2023 11:35:50;;;;;;;;1;;;;rgb_peoplecount;1682933750.702
