time,peoplecount_rgb,co2
2021-02-11 05:51:27.000,0,442.0
2021-02-11 05:52:14.677,0,462.0
2021-02-11 05:58:16.274,0,463.0
2021-02-11 06:04:15.100,0,458.0
2021-02-11 06:11:14.760,0,464.0
2021-02-11 06:11:36.000,0,464.0
2021-02-11 06:13:17.139,0,446.0
2021-02-11 06:14:15.574,0,464.0
2021-02-11 06:19:15.654,0,466.0
2021-02-11 06:19:34.000,0,466.0
2021-02-11 06:29:16.423,0,467.0
2021-02-11 06:29:28.000,0,467.0
2021-02-11 06:34:16.677,0,471.0
2021-02-11 06:35:15.256,0,470.0
2021-02-11 06:35:33.981,0,470.0
2021-02-11 06:35:34.000,0,470.0
2021-02-11 06:39:16.979,0,487.0
2021-02-11 06:39:22.000,0,487.0
2021-02-11 06:40:15.513,0,469.0
2021-02-11 06:41:16.784,0,489.0
2021-02-11 06:41:20.000,0,489.0
2021-02-11 06:42:14.993,0,461.0
2021-02-11 06:43:16.757,0,478.0
2021-02-11 06:49:14.921,0,471.0
2021-02-11 06:49:19.000,0,471.0
2021-02-11 06:55:16.382,0,458.0
2021-02-11 06:55:20.000,0,458.0
2021-02-11 06:56:14.731,0,480.0
2021-02-11 09:49:17.575,2,457.0
2021-02-11 09:49:28.000,2,457.0
2021-02-11 09:50:16.553,2,469.0
2021-02-11 09:50:33.761,2,469.0
2021-02-11 09:52:11.666,2,453.0
2021-02-11 09:52:15.955,2,453.0
2021-02-11 09:52:26.981,2,453.0
2021-02-11 09:53:20.000,2,479.0
2021-02-11 09:54:15.717,2,455.0
2021-02-11 09:57:16.531,2,456.0
2021-02-11 09:57:27.000,2,456.0
2021-02-11 09:58:14.998,2,487.0
2021-02-11 09:59:16.451,2,508.0
2021-02-11 09:59:21.000,2,508.0
2021-02-11 10:03:15.231,2,535.0
2021-02-11 10:03:32.000,2,535.0
2021-02-11 10:04:16.337,2,515.0
2021-02-11 10:06:16.177,2,557.0
2021-02-11 10:07:17.054,2,524.0
2021-02-11 10:07:20.000,2,524.0
2021-02-11 10:08:15.928,2,553.0
2021-02-11 10:09:16.897,2,512.0
2021-02-11 10:09:18.000,2,551.0
2021-02-11 10:10:15.523,2,551.0
2021-02-11 10:11:16.528,2,560.0
2021-02-11 10:11:31.000,2,560.0
2021-02-11 10:12:14.834,1,543.0
2021-02-11 10:12:50.234,1,543.0
2021-02-11 10:14:16.908,0,560.0
2021-02-11 10:15:15.463,0,535.0
2021-02-11 10:15:19.000,0,535.0
2021-02-11 10:16:16.605,0,555.0
2021-02-11 10:19:17.349,0,557.0
2021-02-11 10:19:30.000,0,557.0
2021-02-11 10:20:15.846,0,575.0
2021-02-11 10:20:34.080,0,575.0
2021-02-11 10:21:17.132,0,539.0
2021-02-11 10:21:24.000,0,539.0
2021-02-11 10:22:15.442,0,557.0
2021-02-11 10:24:15.074,0,584.0
2021-02-11 10:27:14.988,0,568.0
2021-02-11 10:27:29.000,0,568.0
2021-02-11 10:28:16.695,0,582.0
2021-02-11 10:29:15.175,0,593.0
2021-02-11 10:29:23.000,0,593.0
2021-02-11 10:29:37.493,0,593.0
2021-02-11 10:29:59.008,0,593.0
2021-02-11 10:32:15.957,2,593.0
2021-02-11 10:34:15.635,1,576.0
2021-02-11 10:38:14.786,0,593.0
2021-02-11 10:39:16.201,0,575.0
2021-02-11 10:39:21.000,0,575.0
2021-02-11 10:40:17.044,0,594.0
2021-02-11 10:42:16.498,0,573.0
2021-02-11 10:43:14.900,0,590.0
2021-02-11 10:44:16.285,0,574.0
2021-02-11 10:45:17.182,0,612.0
2021-02-11 10:45:17.486,0,612.0
2021-02-11 10:45:22.000,0,612.0
2021-02-11 10:45:37.897,0,612.0
2021-02-11 10:47:17.230,0,583.0
2021-02-11 10:47:20.000,0,583.0
2021-02-11 10:48:15.221,0,615.0
2021-02-11 10:49:16.577,0,605.0
2021-02-11 10:49:33.000,0,605.0
2021-02-11 10:51:16.050,0,597.0
2021-02-11 10:51:27.000,0,597.0
2021-02-11 10:52:17.237,0,603.0
2021-02-11 10:53:15.489,0,587.0
2021-02-11 10:54:17.284,0,602.0
2021-02-11 10:55:15.426,0,595.0
2021-02-11 10:55:20.000,0,595.0
2021-02-11 10:56:16.351,0,612.0
2021-02-11 10:56:36.781,0,580.0
2021-02-11 10:56:52.097,0,580.0
2021-02-11 10:57:14.716,1,580.0
2021-02-11 10:58:15.939,1,602.0
2021-02-11 10:59:17.106,1,585.0
2021-02-11 10:59:27.000,1,585.0
2021-02-11 10:59:51.362,1,585.0
2021-02-11 11:00:02.385,1,585.0
2021-02-11 11:02:15.003,0,602.0
2021-02-11 11:03:21.000,0,585.0
2021-02-11 11:03:21.095,1,585.0
2021-02-11 11:04:13.925,1,594.0
2021-02-11 11:09:14.926,1,592.0
2021-02-11 11:09:20.000,1,592.0
2021-02-11 11:10:16.332,1,585.0
2021-02-11 11:11:17.618,1,605.0
2021-02-11 11:11:19.000,1,605.0
2021-02-11 11:12:15.796,1,635.0
2021-02-11 11:13:16.921,1,480.0
2021-02-11 11:13:32.000,1,452.0
2021-02-11 11:14:15.381,1,436.0
2021-02-11 11:18:17.544,1,467.0
2021-02-11 11:19:15.626,1,586.0
2021-02-11 11:19:18.000,1,586.0
2021-02-11 11:20:16.763,1,609.0
2021-02-11 11:20:33.378,1,577.0
2021-02-11 11:21:15.195,1,602.0
2021-02-11 11:21:31.000,1,621.0
2021-02-11 11:21:48.123,1,621.0
2021-02-11 11:21:59.137,1,621.0
2021-02-11 11:22:16.445,1,621.0
2021-02-11 11:23:14.744,1,601.0
2021-02-11 11:23:25.000,1,601.0
2021-02-11 11:24:17.320,1,618.0
2021-02-11 11:25:15.498,1,618.0
2021-02-11 11:25:19.000,1,618.0
2021-02-11 11:26:17.031,1,621.0
2021-02-11 11:27:15.038,0,649.0
2021-02-11 11:27:17.000,0,649.0
2021-02-11 11:28:16.376,1,630.0
2021-02-11 11:29:14.808,1,633.0
2021-02-11 11:29:30.000,1,633.0
2021-02-11 11:30:15.999,1,655.0
2021-02-11 11:31:17.094,1,654.0
2021-02-11 11:31:24.000,1,654.0
2021-02-11 11:34:15.260,1,644.0
2021-02-11 11:36:17.185,1,674.0
2021-02-11 11:37:15.530,1,638.0
2021-02-11 11:37:30.000,1,638.0
2021-02-11 11:38:16.876,1,661.0
2021-02-11 11:41:14.835,1,677.0
2021-02-11 11:41:18.000,1,677.0
2021-02-11 11:42:15.905,1,673.0
2021-02-11 11:43:17.159,0,651.0
2021-02-11 11:43:35.000,0,651.0
2021-02-11 11:43:43.793,0,651.0
2021-02-11 11:43:54.808,0,676.0
2021-02-11 11:44:15.416,0,676.0
2021-02-11 11:45:16.776,1,658.0
2021-02-11 11:45:29.000,1,658.0
2021-02-11 11:46:15.166,1,679.0
2021-02-11 11:48:14.650,0,662.0
2021-02-11 11:49:15.798,0,709.0
2021-02-11 11:49:18.000,0,709.0
2021-02-11 11:50:17.173,1,683.0
2021-02-11 11:50:33.078,1,683.0
2021-02-11 11:53:14.893,0,710.0
2021-02-11 11:53:29.000,0,726.0
2021-02-11 11:54:16.072,1,677.0
